feedback_id,order_id,customer_id,rating,feedback_date,satisfaction_category,comments
1,1,1250,5,2024-03-18,Very Positive,Vehicle delivered in showroom condition. Very impressed with the quick turnaround!
2,2,73,5,2024-01-19,Very Positive,Vehicle delivered in showroom condition. Very impressed with the quick turnaround!
3,3,1585,2,2024-01-18,Negative,Delivery took over a week past the promised date. Very stressful experience.
4,4,1261,2,2024-01-20,Negative,Delayed transit by several days with vague tracking updates.
5,6,1250,4,2024-03-31,Positive,Seamless delivery experience and fantastic performance so far.
6,7,654,4,2024-03-16,Positive,"Delivery on schedule, vehicle is spotless and driving like a dream."
7,8,1133,3,2024-02-07,Neutral,"Delivery arrived as scheduled, minor paperwork delay at hand-off."
8,9,554,4,2024-03-09,Positive,"Excellent vehicle, smooth delivery process. Highly recommend New Wheels."
9,10,1352,4,2024-03-03,Positive,Arrived earlier than promised! Driver was courteous and professional.
10,11,876,5,2024-03-29,Very Positive,"Excellent vehicle, smooth delivery process. Highly recommend New Wheels."
11,12,488,5,2024-03-08,Very Positive,Arrived earlier than promised! Driver was courteous and professional.
12,13,1581,5,2024-02-23,Very Positive,Arrived earlier than promised! Driver was courteous and professional.
13,14,1140,5,2024-03-09,Very Positive,"Excellent vehicle, smooth delivery process. Highly recommend New Wheels."
14,16,531,5,2024-01-15,Very Positive,Vehicle delivered in showroom condition. Very impressed with the quick turnaround!
15,17,157,1,2024-03-18,Very Negative,Terrible logistics breakdown. Had to rent a car due to unannounced delivery delays.
16,18,603,1,2024-03-12,Very Negative,Horrible experience! Promised delivery date missed repeatedly. Will not purchase again.
17,20,1244,5,2024-03-15,Very Positive,Arrived earlier than promised! Driver was courteous and professional.
18,21,1533,5,2024-02-07,Very Positive,"Delivery on schedule, vehicle is spotless and driving like a dream."
19,22,858,5,2024-02-05,Very Positive,Vehicle delivered in showroom condition. Very impressed with the quick turnaround!
20,23,304,4,2024-02-29,Positive,Seamless delivery experience and fantastic performance so far.
21,24,50,4,2024-01-10,Positive,Vehicle delivered in showroom condition. Very impressed with the quick turnaround!
22,25,690,4,2024-02-21,Positive,"Excellent vehicle, smooth delivery process. Highly recommend New Wheels."
23,26,1434,5,2024-02-14,Very Positive,"Excellent vehicle, smooth delivery process. Highly recommend New Wheels."
24,27,1205,3,2024-02-03,Neutral,Vehicle is solid. Transit took the full promised duration.
25,28,570,1,2024-01-29,Very Negative,Terrible logistics breakdown. Had to rent a car due to unannounced delivery delays.
26,29,1544,5,2024-02-09,Very Positive,Vehicle delivered in showroom condition. Very impressed with the quick turnaround!
27,30,400,5,2024-03-17,Very Positive,"Excellent vehicle, smooth delivery process. Highly recommend New Wheels."
28,31,1467,3,2024-02-12,Neutral,"Delivery arrived as scheduled, minor paperwork delay at hand-off."
29,32,670,5,2024-02-06,Very Positive,"Delivery on schedule, vehicle is spotless and driving like a dream."
30,33,1283,4,2024-03-30,Positive,Arrived earlier than promised! Driver was courteous and professional.
31,34,1482,5,2024-01-24,Very Positive,Seamless delivery experience and fantastic performance so far.
