shipment_id,order_id,dispatch_center_id,carrier_id,dispatch_date,shipped_date,promised_delivery_date,actual_delivery_date,delivery_status,delivery_days,delay_days
1,1,5,4,2024-03-14,2024-03-14,2024-03-16,2024-03-16,On-Time,2,0
2,2,6,4,2024-01-16,2024-01-16,2024-01-17,2024-01-17,On-Time,1,0
3,3,2,5,2024-01-06,2024-01-06,2024-01-10,2024-01-14,Delayed,8,4
4,4,2,2,2024-01-16,2024-01-16,2024-01-18,2024-01-19,Delayed,3,1
5,5,7,3,2024-02-02,2024-02-02,2024-02-06,2024-02-06,On-Time,4,0
6,6,8,2,2024-03-27,2024-03-27,2024-03-28,2024-03-28,On-Time,1,0
7,7,7,5,2024-03-10,2024-03-10,2024-03-14,2024-03-14,On-Time,4,0
8,8,2,1,2024-01-31,2024-01-31,2024-02-03,2024-02-03,On-Time,3,0
9,9,3,1,2024-03-06,2024-03-06,2024-03-08,2024-03-08,On-Time,2,0
10,10,8,1,2024-02-28,2024-02-28,2024-03-01,2024-03-01,On-Time,2,0
11,11,6,5,2024-03-22,2024-03-22,2024-03-26,2024-03-26,On-Time,4,0
12,12,7,1,2024-03-01,2024-03-01,2024-03-04,2024-03-04,On-Time,3,0
13,13,6,2,2024-02-18,2024-02-18,2024-02-19,2024-02-19,On-Time,1,0
14,14,6,1,2024-03-04,2024-03-04,2024-03-06,2024-03-06,On-Time,2,0
15,15,2,2,2024-01-19,2024-01-19,2024-01-20,2024-01-20,On-Time,1,0
16,16,7,5,2024-01-09,2024-01-09,2024-01-14,2024-01-14,On-Time,5,0
17,17,7,3,2024-03-07,2024-03-07,2024-03-11,2024-03-14,Delayed,7,3
18,18,3,5,2024-03-02,2024-03-02,2024-03-07,2024-03-09,Delayed,7,2
19,19,3,5,2024-03-17,2024-03-17,2024-03-21,,Cancelled,0,0
20,20,6,3,2024-03-09,2024-03-09,2024-03-13,2024-03-13,On-Time,4,0
21,21,6,3,2024-01-31,2024-01-31,2024-02-04,2024-02-04,On-Time,4,0
22,22,3,4,2024-01-31,2024-01-31,2024-02-02,2024-02-02,On-Time,2,0
23,23,4,4,2024-02-23,2024-02-23,2024-02-25,2024-02-25,On-Time,2,0
