order_item_id,order_id,vehicle_id,quantity,unit_price,discount,line_total
1,1,14,1,48500.0,3440.32,45059.68
2,2,16,1,23000.0,1275.49,21724.51
3,3,7,1,36500.0,2082.37,34417.63
4,4,12,1,84500.0,3896.07,80603.93
5,5,2,1,37500.0,1924.25,35575.75
6,6,19,1,49500.0,1848.91,47651.09
7,7,15,1,54500.0,3008.77,51491.23
8,8,7,1,36500.0,1181.32,35318.68
9,9,5,1,42000.0,2018.13,39981.87
10,10,9,1,44000.0,1237.97,42762.03
11,11,2,1,37500.0,2754.14,34745.86
12,12,3,1,34000.0,880.97,33119.03
13,13,3,3,34000.0,6028.86,95971.14
14,14,2,1,37500.0,3049.88,34450.12
15,15,20,1,62000.0,3990.24,58009.76
16,16,20,1,62000.0,1609.96,60390.04
17,17,6,1,31000.0,2305.21,28694.79
18,18,13,1,56000.0,1938.65,54061.35
19,19,15,1,54500.0,3485.42,51014.58
20,20,16,1,23000.0,1484.69,21515.31
21,21,4,1,46500.0,3096.17,43403.83
22,22,17,1,38500.0,3241.88,35258.12
23,23,11,1,69000.0,4344.09,64655.91
24,24,6,1,31000.0,2616.28,28383.72
25,25,12,1,84500.0,5238.81,79261.19
26,26,3,1,34000.0,1224.24,32775.76
27,27,9,1,44000.0,3594.19,40405.81
28,28,19,1,49500.0,3849.86,45650.14
29,29,4,1,46500.0,3741.9,42758.1
30,30,1,1,28500.0,1547.61,26952.39
31,31,4,1,46500.0,2402.39,44097.61
32,32,11,2,69000.0,5736.18,132263.82
33,33,1,2,28500.0,2266.02,54733.98
34,34,1,1,28500.0,827.52,27672.48
35,35,14,1,48500.0,1736.49,46763.51
36,36,15,1,54500.0,2426.55,52073.45
37,37,12,1,84500.0,5596.72,78903.28
38,38,13,1,56000.0,4118.34,51881.66
39,39,11,1,69000.0,4952.35,64047.65
40,40,18,1,82000.0,2362.25,79637.75
41,41,4,1,46500.0,3208.5,43291.5
42,42,14,1,48500.0,1310.79,47189.21
43,43,1,1,28500.0,737.71,27762.29
44,44,9,1,44000.0,2311.51,41688.49
45,45,17,1,38500.0,1527.56,36972.44
46,46,19,2,49500.0,3122.16,95877.84
47,47,10,1,78500.0,5917.25,72582.75
48,48,7,1,36500.0,2566.03,33933.97
49,49,9,1,44000.0,1420.7,42579.3
50,50,4,1,46500.0,2377.49,44122.51
51,51,9,1,44000.0,2346.37,41653.63
52,52,7,1,36500.0,1348.9,35151.1
53,53,5,1,42000.0,3118.3,38881.7
54,54,11,2,69000.0,4499.1,133500.9
55,55,20,1,62000.0,2094.95,59905.05
56,56,11,1,69000.0,2977.59,66022.41
57,57,7,1,36500.0,3004.74,33495.26
58,58,1,1,28500.0,1337.83,27162.17
59,59,15,1,54500.0,2542.94,51957.06
60,60,9,1,44000.0,1823.82,42176.18
61,61,6,3,31000.0,7184.7,85815.3
62,62,13,1,56000.0,3877.84,52122.16
63,63,9,1,44000.0,1321.68,42678.32
64,64,2,1,37500.0,3030.61,34469.39
65,65,3,1,34000.0,2639.48,31360.52
66,66,17,1,38500.0,1592.67,36907.33
67,67,6,1,31000.0,843.32,30156.68
68,68,3,1,34000.0,1897.08,32102.92
69,69,6,1,31000.0,1869.41,29130.59
70,70,6,1,31000.0,1643.32,29356.68
71,71,6,1,31000.0,2037.11,28962.89
72,72,4,2,46500.0,7751.14,85248.86
73,73,17,1,38500.0,1658.46,36841.54
74,74,10,1,78500.0,3818.46,74681.54
75,75,14,3,48500.0,8848.77,136651.23
76,76,12,1,84500.0,4131.28,80368.72
77,77,6,1,31000.0,2302.57,28697.43
78,78,13,1,56000.0,2759.03,53240.97
79,79,4,1,46500.0,2846.64,43653.36
80,80,17,1,38500.0,1147.32,37352.68
81,81,5,1,42000.0,1900.4,40099.6
82,82,1,1,28500.0,1975.64,26524.36
83,83,14,1,48500.0,1922.83,46577.17
84,84,8,1,21500.0,1802.04,19697.96
85,85,9,1,44000.0,3726.58,40273.42
86,86,20,1,62000.0,3033.05,58966.95
87,87,4,1,46500.0,1212.92,45287.08
88,88,18,1,82000.0,2111.83,79888.17
89,89,1,1,28500.0,2169.92,26330.08
90,90,1,1,28500.0,979.09,27520.91
91,91,5,1,42000.0,2003.64,39996.36
92,92,15,1,54500.0,2729.95,51770.05
93,93,5,1,42000.0,3379.87,38620.13
94,94,20,1,62000.0,3076.29,58923.71
95,95,3,1,34000.0,2791.77,31208.23
96,96,19,1,49500.0,2195.99,47304.01
97,97,11,3,69000.0,16006.29,190993.71
98,98,18,1,82000.0,2645.23,79354.77
99,99,19,1,49500.0,3106.43,46393.57
100,100,18,1,82000.0,5964.12,76035.88
101,101,15,1,54500.0,3650.07,50849.93
102,102,10,1,78500.0,6412.47,72087.53
103,103,8,1,21500.0,573.63,20926.37
104,104,18,1,82000.0,3596.34,78403.66
105,105,6,1,31000.0,2222.11,28777.89
106,106,2,1,37500.0,1834.11,35665.89
107,107,8,1,21500.0,867.83,20632.17
108,108,19,1,49500.0,1631.17,47868.83
109,109,4,1,46500.0,1487.27,45012.73
110,110,20,2,62000.0,8721.24,115278.76
111,111,11,1,69000.0,2864.69,66135.31
112,112,2,1,37500.0,1909.53,35590.47
113,113,15,1,54500.0,2905.53,51594.47
114,114,20,2,62000.0,7961.98,116038.02
115,115,7,1,36500.0,1587.06,34912.94
116,116,7,1,36500.0,1369.35,35130.65
117,117,18,1,82000.0,2575.63,79424.37
118,118,12,1,84500.0,2413.24,82086.76
119,119,14,1,48500.0,3611.24,44888.76
120,120,1,1,28500.0,952.7,27547.3
121,121,20,1,62000.0,2513.58,59486.42
122,122,12,1,84500.0,2194.64,82305.36
123,123,6,1,31000.0,2260.38,28739.62
124,124,11,2,69000.0,4054.66,133945.34
125,125,4,1,46500.0,2354.25,44145.75
126,126,5,2,42000.0,3051.8,80948.2
127,127,7,1,36500.0,1354.23,35145.77
128,128,17,1,38500.0,2935.67,35564.33
129,129,19,1,49500.0,3389.32,46110.68
130,130,9,1,44000.0,2443.06,41556.94
131,131,3,2,34000.0,4353.76,63646.24
132,132,9,1,44000.0,1470.18,42529.82
133,133,16,1,23000.0,1497.76,21502.24
134,134,6,1,31000.0,2428.21,28571.79
135,135,7,1,36500.0,1057.75,35442.25
136,136,5,1,42000.0,1863.65,40136.35
137,137,4,1,46500.0,1391.81,45108.19
138,138,19,1,49500.0,4170.8,45329.2
139,139,13,1,56000.0,4068.49,51931.51
140,140,16,1,23000.0,1242.71,21757.29
141,141,18,1,82000.0,3306.0,78694.0
142,142,13,1,56000.0,4641.57,51358.43
143,143,17,1,38500.0,1384.33,37115.67
144,144,1,1,28500.0,1624.2,26875.8
145,145,14,1,48500.0,3710.14,44789.86
146,146,10,1,78500.0,2945.74,75554.26
147,147,7,1,36500.0,2207.7,34292.3
148,148,5,1,42000.0,1875.22,40124.78
149,149,9,1,44000.0,1285.86,42714.14
150,150,19,1,49500.0,1737.81,47762.19
151,151,13,2,56000.0,8422.68,103577.32
152,152,9,1,44000.0,2207.86,41792.14
153,153,11,1,69000.0,5191.89,63808.11
154,154,15,1,54500.0,3336.94,51163.06
155,155,11,1,69000.0,1824.96,67175.04
156,156,9,1,44000.0,2277.46,41722.54
157,157,11,1,69000.0,3181.47,65818.53
158,158,17,1,38500.0,3031.75,35468.25
159,159,7,1,36500.0,1116.97,35383.03
160,160,17,1,38500.0,3012.51,35487.49
161,161,16,1,23000.0,884.77,22115.23
162,162,16,1,23000.0,1731.34,21268.66
163,163,19,1,49500.0,4020.16,45479.84
164,164,11,1,69000.0,2158.9,66841.1
165,165,19,1,49500.0,1746.38,47753.62
166,166,11,1,69000.0,5647.03,63352.97
167,167,10,1,78500.0,5171.53,73328.47
168,168,7,1,36500.0,1457.37,35042.63
169,169,6,1,31000.0,1533.09,29466.91
170,170,6,1,31000.0,1978.84,29021.16
171,171,11,1,69000.0,3317.88,65682.12
172,172,20,1,62000.0,2941.91,59058.09
173,173,6,1,31000.0,1110.58,29889.42
174,174,18,1,82000.0,2372.08,79627.92
175,175,3,1,34000.0,1910.48,32089.52
176,176,14,2,48500.0,4619.52,92380.48
177,177,2,1,37500.0,1360.68,36139.32
178,178,2,1,37500.0,2794.64,34705.36
179,179,15,1,54500.0,1601.09,52898.91
180,180,6,1,31000.0,2610.98,28389.02
181,181,9,2,44000.0,4360.6,83639.4
182,182,15,1,54500.0,1783.96,52716.04
183,183,19,1,49500.0,3361.12,46138.88
184,184,16,1,23000.0,852.09,22147.91
185,185,20,1,62000.0,2929.76,59070.24
186,186,9,2,44000.0,7067.32,80932.68
187,187,1,1,28500.0,2202.49,26297.51
188,188,15,2,54500.0,7460.48,101539.52
189,189,11,1,69000.0,5272.99,63727.01
190,190,14,1,48500.0,2995.19,45504.81
191,191,1,1,28500.0,1450.77,27049.23
192,192,7,1,36500.0,1827.32,34672.68
193,193,20,1,62000.0,2901.9,59098.1
194,194,20,1,62000.0,3083.08,58916.92
195,195,19,1,49500.0,3218.47,46281.53
196,196,20,1,62000.0,3523.79,58476.21
197,197,4,1,46500.0,1582.68,44917.32
198,198,4,1,46500.0,3619.27,42880.73
199,199,20,1,62000.0,4019.59,57980.41
200,200,15,1,54500.0,3275.09,51224.91
201,201,5,1,42000.0,1329.65,40670.35
202,202,19,1,49500.0,2478.18,47021.82
203,203,5,1,42000.0,2181.31,39818.69
204,204,12,1,84500.0,3647.24,80852.76
205,205,12,1,84500.0,5758.42,78741.58
206,206,5,1,42000.0,3081.69,38918.31
207,207,2,1,37500.0,2248.7,35251.3
208,208,2,1,37500.0,1911.68,35588.32
209,209,6,1,31000.0,1647.73,29352.27
210,210,4,1,46500.0,3123.5,43376.5
211,211,5,1,42000.0,1918.79,40081.21
212,212,20,1,62000.0,4361.02,57638.98
213,213,6,1,31000.0,2336.89,28663.11
214,214,15,1,54500.0,4240.02,50259.98
215,215,11,1,69000.0,3304.23,65695.77
216,216,11,1,69000.0,2543.71,66456.29
217,217,6,1,31000.0,972.18,30027.82
218,218,16,1,23000.0,592.9,22407.1
219,219,18,2,82000.0,7736.54,156263.46
220,220,13,1,56000.0,4430.18,51569.82
221,221,15,1,54500.0,3355.2,51144.8
222,222,10,1,78500.0,4800.74,73699.26
223,223,7,3,36500.0,8156.67,101343.33
224,224,7,1,36500.0,2058.97,34441.03
225,225,9,1,44000.0,3501.89,40498.11
226,226,12,1,84500.0,3749.11,80750.89
227,227,5,1,42000.0,3156.9,38843.1
228,228,3,1,34000.0,1058.6,32941.4
229,229,9,1,44000.0,2794.4,41205.6
230,230,2,1,37500.0,2384.03,35115.97
231,231,16,1,23000.0,1499.96,21500.04
232,232,14,1,48500.0,2904.91,45595.09
233,233,6,1,31000.0,2327.77,28672.23
234,234,14,1,48500.0,3453.25,45046.75
235,235,12,2,84500.0,7301.18,161698.82
236,236,10,1,78500.0,5353.43,73146.57
237,237,1,1,28500.0,1771.46,26728.54
238,238,12,1,84500.0,2498.32,82001.68
239,239,19,1,49500.0,3592.0,45908.0
240,240,7,1,36500.0,1739.06,34760.94
241,241,16,1,23000.0,608.69,22391.31
242,242,16,1,23000.0,1562.49,21437.51
243,243,18,1,82000.0,4710.57,77289.43
244,244,8,1,21500.0,1777.69,19722.31
245,245,3,1,34000.0,1546.97,32453.03
246,246,1,1,28500.0,890.02,27609.98
247,247,4,1,46500.0,2142.16,44357.84
248,248,14,1,48500.0,2104.58,46395.42
249,249,5,1,42000.0,3446.55,38553.45
250,250,20,1,62000.0,3757.21,58242.79
251,251,14,1,48500.0,3017.37,45482.63
252,252,6,1,31000.0,1897.71,29102.29
253,253,8,1,21500.0,1185.17,20314.83
254,254,17,1,38500.0,1054.48,37445.52
255,255,5,1,42000.0,1613.03,40386.97
256,256,19,1,49500.0,1307.82,48192.18
257,257,2,1,37500.0,1528.75,35971.25
258,258,7,1,36500.0,1889.46,34610.54
259,259,13,1,56000.0,1437.61,54562.39
260,260,18,1,82000.0,5992.03,76007.97
261,261,11,1,69000.0,2747.86,66252.14
262,262,8,1,21500.0,1616.42,19883.58
263,263,1,2,28500.0,2852.22,54147.78
264,264,8,3,21500.0,3500.25,60999.75
265,265,9,1,44000.0,1926.46,42073.54
266,266,20,1,62000.0,4862.85,57137.15
267,267,20,1,62000.0,4488.6,57511.4
268,268,12,1,84500.0,3392.86,81107.14
269,269,19,1,49500.0,3676.34,45823.66
270,270,3,2,34000.0,4801.3,63198.7
271,271,19,2,49500.0,2830.68,96169.32
272,272,17,2,38500.0,5737.06,71262.94
273,273,12,1,84500.0,6634.36,77865.64
274,274,15,1,54500.0,2809.57,51690.43
275,275,20,1,62000.0,2314.35,59685.65
276,276,8,1,21500.0,568.82,20931.18
277,277,9,1,44000.0,2275.66,41724.34
278,278,10,1,78500.0,4463.21,74036.79
279,279,2,1,37500.0,1500.88,35999.12
280,280,10,1,78500.0,3054.35,75445.65
281,281,12,1,84500.0,2503.13,81996.87
282,282,1,1,28500.0,1269.07,27230.93
283,283,13,1,56000.0,2633.76,53366.24
284,284,3,1,34000.0,2855.03,31144.97
285,285,16,1,23000.0,1371.91,21628.09
286,286,10,1,78500.0,2506.68,75993.32
287,287,5,1,42000.0,2183.85,39816.15
