order_id,customer_id,order_date,order_status,vehicle_id,quantity,list_price,discount,net_sales,order_region,dispatch_center_id
1,1250,2024-03-13,Completed,14,1,48500.0,3440.32,45059.68,West,5
2,73,2024-01-14,Completed,16,1,23000.0,1275.49,21724.51,Southeast,6
3,1585,2024-01-04,Completed,7,1,36500.0,2082.37,34417.63,Southeast,2
4,1261,2024-01-15,Completed,12,1,84500.0,3896.07,80603.93,Southeast,2
5,157,2024-02-01,Completed,2,1,37500.0,1924.25,35575.75,Midwest,7
6,1250,2024-03-25,Completed,19,1,49500.0,1848.91,47651.09,West,8
7,654,2024-03-08,Completed,15,1,54500.0,3008.77,51491.23,Midwest,7
8,1133,2024-01-30,Completed,7,1,36500.0,1181.32,35318.68,Southeast,2
9,554,2024-03-04,Completed,5,1,42000.0,2018.13,39981.87,Midwest,3
10,1352,2024-02-26,Completed,9,1,44000.0,1237.97,42762.03,West,8
11,876,2024-03-20,Completed,2,1,37500.0,2754.14,34745.86,Southeast,6
12,488,2024-02-29,Completed,3,1,34000.0,880.97,33119.03,Midwest,7
13,1581,2024-02-16,Completed,3,3,102000.0,6028.86,95971.14,Southwest,6
14,1140,2024-03-02,Completed,2,1,37500.0,3049.88,34450.12,Southwest,6
15,73,2024-01-17,Completed,20,1,62000.0,3990.24,58009.76,Southeast,2
16,531,2024-01-08,Completed,20,1,62000.0,1609.96,60390.04,Midwest,7
17,157,2024-03-06,Completed,6,1,31000.0,2305.21,28694.79,Midwest,7
18,603,2024-03-01,Completed,13,1,56000.0,1938.65,54061.35,Midwest,3
19,531,2024-03-15,Cancelled,15,1,54500.0,3485.42,51014.58,Midwest,3
20,1244,2024-03-08,Completed,16,1,23000.0,1484.69,21515.31,Southeast,6
21,1533,2024-01-30,Completed,4,1,46500.0,3096.17,43403.83,Southeast,6
22,858,2024-01-30,Completed,17,1,38500.0,3241.88,35258.12,Midwest,3
23,304,2024-02-22,Completed,11,1,69000.0,4344.09,64655.91,Southwest,4
24,50,2024-01-05,Completed,6,1,31000.0,2616.28,28383.72,Northeast,1
25,690,2024-02-13,Returned,12,1,84500.0,5238.81,79261.19,Midwest,3
26,1434,2024-02-07,Completed,3,1,34000.0,1224.24,32775.76,Southwest,4
27,1205,2024-01-23,Completed,9,1,44000.0,3594.19,40405.81,Northeast,1
28,570,2024-01-19,Completed,19,1,49500.0,3849.86,45650.14,Southeast,6
29,1544,2024-02-03,Completed,4,1,46500.0,3741.9,42758.1,Southeast,2
30,400,2024-03-10,Completed,1,1,28500.0,1547.61,26952.39,Southeast,6
31,1467,2024-02-07,Completed,4,1,46500.0,2402.39,44097.61,Southeast,6
32,670,2024-01-29,Completed,11,2,138000.0,5736.18,132263.82,Southeast,2
33,1283,2024-03-25,Completed,1,2,57000.0,2266.02,54733.98,Southeast,2
34,1482,2024-01-17,Completed,1,1,28500.0,827.52,27672.48,West,5
35,1087,2024-03-22,Completed,14,1,48500.0,1736.49,46763.51,Southwest,4
36,50,2024-01-13,Completed,15,1,54500.0,2426.55,52073.45,Northeast,1
37,1002,2024-03-02,Completed,12,1,84500.0,5596.72,78903.28,Midwest,7
38,843,2024-02-03,Completed,13,1,56000.0,4118.34,51881.66,Southeast,6
39,342,2024-01-29,Completed,11,1,69000.0,4952.35,64047.65,West,8
40,723,2024-03-31,Completed,18,1,82000.0,2362.25,79637.75,Southeast,2
41,766,2024-02-07,Completed,4,1,46500.0,3208.5,43291.5,Southwest,4
42,472,2024-01-04,Completed,14,1,48500.0,1310.79,47189.21,West,8
43,851,2024-03-31,Completed,1,1,28500.0,737.71,27762.29,Northeast,1
44,619,2024-03-06,Completed,9,1,44000.0,2311.51,41688.49,Southeast,6
45,1093,2024-02-06,Completed,17,1,38500.0,1527.56,36972.44,Southeast,6
46,916,2024-02-20,Completed,19,2,99000.0,3122.16,95877.84,Northeast,1
47,970,2024-01-19,Completed,10,1,78500.0,5917.25,72582.75,West,5
48,12,2024-03-17,Completed,7,1,36500.0,2566.03,33933.97,Southeast,6
49,332,2024-03-30,Completed,9,1,44000.0,1420.7,42579.3,Southwest,4
50,608,2024-02-23,Completed,4,1,46500.0,2377.49,44122.51,Northeast,1
51,761,2024-03-28,Completed,9,1,44000.0,2346.37,41653.63,Northeast,1
52,12,2024-01-20,Completed,7,1,36500.0,1348.9,35151.1,Southeast,6
53,395,2024-02-14,Completed,5,1,42000.0,3118.3,38881.7,Southwest,6
54,574,2024-01-14,Completed,11,2,138000.0,4499.1,133500.9,Midwest,7
55,188,2024-01-30,Completed,20,1,62000.0,2094.95,59905.05,Southeast,2
56,967,2024-02-26,Completed,11,1,69000.0,2977.59,66022.41,Southeast,2
57,1240,2024-02-10,Completed,7,1,36500.0,3004.74,33495.26,Northeast,1
58,365,2024-02-25,Completed,1,1,28500.0,1337.83,27162.17,Southwest,6
59,402,2024-01-02,Completed,15,1,54500.0,2542.94,51957.06,Northeast,1
60,843,2024-03-23,Completed,9,1,44000.0,1823.82,42176.18,Southeast,2
61,314,2024-03-19,Completed,6,3,93000.0,7184.7,85815.3,Northeast,1
62,398,2024-02-05,Completed,13,1,56000.0,3877.84,52122.16,West,8
63,402,2024-01-09,Completed,9,1,44000.0,1321.68,42678.32,Northeast,1
64,1427,2024-02-14,Completed,2,1,37500.0,3030.61,34469.39,Midwest,3
65,943,2024-01-28,Completed,3,1,34000.0,2639.48,31360.52,Southeast,6
66,463,2024-03-13,Completed,17,1,38500.0,1592.67,36907.33,West,8
67,1408,2024-02-27,Completed,6,1,31000.0,843.32,30156.68,Northeast,1
68,551,2024-03-11,Completed,3,1,34000.0,1897.08,32102.92,Southeast,2
69,1155,2024-03-16,Completed,6,1,31000.0,1869.41,29130.59,Midwest,3
70,628,2024-01-24,Completed,6,1,31000.0,1643.32,29356.68,Northeast,1
71,1231,2024-02-02,Completed,6,1,31000.0,2037.11,28962.89,Southwest,4
72,1429,2024-03-06,Completed,4,2,93000.0,7751.14,85248.86,West,5
73,411,2024-02-20,Completed,17,1,38500.0,1658.46,36841.54,Southwest,4
74,965,2024-02-17,Completed,10,1,78500.0,3818.46,74681.54,Midwest,7
75,670,2024-01-18,Completed,14,3,145500.0,8848.77,136651.23,Southeast,6
76,1251,2024-03-05,Completed,12,1,84500.0,4131.28,80368.72,Southwest,4
77,488,2024-03-24,Completed,6,1,31000.0,2302.57,28697.43,Midwest,7
78,208,2024-02-14,Completed,13,1,56000.0,2759.03,53240.97,West,5
79,621,2024-02-24,Completed,4,1,46500.0,2846.64,43653.36,Southeast,6
80,786,2024-02-24,Completed,17,1,38500.0,1147.32,37352.68,Southwest,6
81,1228,2024-02-28,Completed,5,1,42000.0,1900.4,40099.6,Southwest,4
82,1352,2024-03-22,Completed,1,1,28500.0,1975.64,26524.36,West,5
83,939,2024-02-05,Completed,14,1,48500.0,1922.83,46577.17,Midwest,7
84,208,2024-03-22,Completed,8,1,21500.0,1802.04,19697.96,West,8
85,1170,2024-01-15,Completed,9,1,44000.0,3726.58,40273.42,Northeast,1
86,94,2024-02-05,Completed,20,1,62000.0,3033.05,58966.95,Southeast,6
87,1301,2024-01-17,Completed,4,1,46500.0,1212.92,45287.08,Midwest,3
88,975,2024-02-12,Completed,18,1,82000.0,2111.83,79888.17,Southeast,6
89,826,2024-03-27,Cancelled,1,1,28500.0,2169.92,26330.08,Midwest,7
90,958,2024-02-10,Completed,1,1,28500.0,979.09,27520.91,Southeast,6
91,1101,2024-01-31,Completed,5,1,42000.0,2003.64,39996.36,Southeast,2
92,721,2024-02-21,Completed,15,1,54500.0,2729.95,51770.05,Southwest,6
93,951,2024-02-20,Completed,5,1,42000.0,3379.87,38620.13,Southwest,4
94,857,2024-02-19,Completed,20,1,62000.0,3076.29,58923.71,Southwest,4
95,967,2024-01-22,Completed,3,1,34000.0,2791.77,31208.23,Southeast,6
